LCE_fold0
{'loss': 0.0, 'learning_rate': 0.0028, 'epoch': 35.0}
{'loss': 0.0, 'learning_rate': 0.0028799999999999997, 'epoch': 36.0}
{'loss': 0.0, 'learning_rate': 0.00296, 'epoch': 37.0}
{'loss': 0.0, 'learning_rate': 0.00304, 'epoch': 38.0}
{'loss': 0.0, 'learning_rate': 0.0031200000000000004, 'epoch': 39.0}
LCE_fold2
{'loss': 1.2382, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2119, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.1594, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9835, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6749, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3778, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.2086, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.2078, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.1371, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.1444, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.1378, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.1171, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.1433, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.2211, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.0835, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.1359, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.0644, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.0554, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.0709, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.0581, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.0801, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.0427, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.027, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 0.0117, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.0102, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.0225, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
{'loss': 0.0248, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.0007, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
{'loss': 0.0033, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.0017, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0018, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 0.0008, 'learning_rate': 0.00256, 'epoch': 32.0}
{'loss': 0.0004, 'learning_rate': 0.00264, 'epoch': 33.0}
{'loss': 0.0002, 'learning_rate': 0.00272, 'epoch': 34.0}
{'loss': 0.0017, 'learning_rate': 0.0028, 'epoch': 35.0}
{'loss': 0.0001, 'learning_rate': 0.0028799999999999997, 'epoch': 36.0}
{'loss': 0.0051, 'learning_rate': 0.00296, 'epoch': 37.0}
{'loss': 0.017, 'learning_rate': 0.00304, 'epoch': 38.0}
{'loss': 0.011, 'learning_rate': 0.0031200000000000004, 'epoch': 39.0}
{'loss': 0.0008, 'learning_rate': 0.0032, 'epoch': 40.0}
{'loss': 0.0194, 'learning_rate': 0.00328, 'epoch': 41.0}
{'loss': 0.0296, 'learning_rate': 0.00336, 'epoch': 42.0}
LCE_fold3
{'loss': 1.2153, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2294, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.1478, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9754, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6894, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3848, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.2183, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.227, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.1422, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.1454, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.13, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.1381, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.174, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.1089, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.1208, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.1683, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.1171, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.1429, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.0696, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.0944, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.0484, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.0452, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.0305, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 0.0289, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.0325, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.0356, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
{'loss': 0.0128, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.0166, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
{'loss': 0.0015, 'learning_rate': 0.00232, 'epoch': 29.0}
{'loss': 0.001, 'learning_rate': 0.0024, 'epoch': 30.0}
{'loss': 0.0009, 'learning_rate': 0.00248, 'epoch': 31.0}
{'loss': 0.0005, 'learning_rate': 0.00256, 'epoch': 32.0}
{'loss': 0.0002, 'learning_rate': 0.00264, 'epoch': 33.0}
{'loss': 0.0002, 'learning_rate': 0.00272, 'epoch': 34.0}
{'loss': 0.0002, 'learning_rate': 0.0028, 'epoch': 35.0}
{'loss': 0.0001, 'learning_rate': 0.0028799999999999997, 'epoch': 36.0}
{'loss': 0.0002, 'learning_rate': 0.00296, 'epoch': 37.0}
{'loss': 0.0002, 'learning_rate': 0.00304, 'epoch': 38.0}
{'loss': 0.0002, 'learning_rate': 0.0031200000000000004, 'epoch': 39.0}
{'loss': 0.0001, 'learning_rate': 0.0032, 'epoch': 40.0}
LCE_fold4
{'loss': 1.2339, 'learning_rate': 8e-05, 'epoch': 1.0}
{'loss': 1.2104, 'learning_rate': 0.00016, 'epoch': 2.0}
{'loss': 1.1456, 'learning_rate': 0.00024, 'epoch': 3.0}
{'loss': 0.9779, 'learning_rate': 0.00032, 'epoch': 4.0}
{'loss': 0.6702, 'learning_rate': 0.0004, 'epoch': 5.0}
{'loss': 0.3733, 'learning_rate': 0.00048, 'epoch': 6.0}
{'loss': 0.2114, 'learning_rate': 0.0005600000000000001, 'epoch': 7.0}
{'loss': 0.2119, 'learning_rate': 0.00064, 'epoch': 8.0}
{'loss': 0.1421, 'learning_rate': 0.0007199999999999999, 'epoch': 9.0}
{'loss': 0.1452, 'learning_rate': 0.0008, 'epoch': 10.0}
{'loss': 0.1328, 'learning_rate': 0.00088, 'epoch': 11.0}
{'loss': 0.1227, 'learning_rate': 0.00096, 'epoch': 12.0}
{'loss': 0.1379, 'learning_rate': 0.0010400000000000001, 'epoch': 13.0}
{'loss': 0.0949, 'learning_rate': 0.0011200000000000001, 'epoch': 14.0}
{'loss': 0.0979, 'learning_rate': 0.0012, 'epoch': 15.0}
{'loss': 0.1733, 'learning_rate': 0.00128, 'epoch': 16.0}
{'loss': 0.0547, 'learning_rate': 0.00136, 'epoch': 17.0}
{'loss': 0.0922, 'learning_rate': 0.0014399999999999999, 'epoch': 18.0}
{'loss': 0.0495, 'learning_rate': 0.00152, 'epoch': 19.0}
{'loss': 0.0487, 'learning_rate': 0.0016, 'epoch': 20.0}
{'loss': 0.0338, 'learning_rate': 0.00168, 'epoch': 21.0}
{'loss': 0.0314, 'learning_rate': 0.00176, 'epoch': 22.0}
{'loss': 0.0175, 'learning_rate': 0.00184, 'epoch': 23.0}
{'loss': 0.0122, 'learning_rate': 0.00192, 'epoch': 24.0}
{'loss': 0.0053, 'learning_rate': 0.002, 'epoch': 25.0}
{'loss': 0.0009, 'learning_rate': 0.0020800000000000003, 'epoch': 26.0}
{'loss': 0.0002, 'learning_rate': 0.00216, 'epoch': 27.0}
{'loss': 0.0003, 'learning_rate': 0.0022400000000000002, 'epoch': 28.0}
